央卫频道,#genre#
CCTV1,webview://https://yangshipin.cn/tv/home?pid=600001859
CCTV2,webview://https://yangshipin.cn/tv/home?pid=600001800
CCTV3,webview://https://yangshipin.cn/tv/home?pid=600001801
CCTV4,webview://https://yangshipin.cn/tv/home?pid=600001814
CCTV5,webview://https://yangshipin.cn/tv/home?pid=600001818
CCTV5+,webview://https://yangshipin.cn/tv/home?pid=600001817
CCTV6,webview://https://yangshipin.cn/tv/home?pid=600108442
CCTV7,webview://https://yangshipin.cn/tv/home?pid=600004092
CCTV8,webview://https://yangshipin.cn/tv/home?pid=600001803
CCTV9,webview://https://yangshipin.cn/tv/home?pid=600004078
CCTV10,webview://https://yangshipin.cn/tv/home?pid=600001805
CCTV11,webview://https://yangshipin.cn/tv/home?pid=600001806
CCTV12,webview://https://yangshipin.cn/tv/home?pid=600001807
CCTV13,webview://https://yangshipin.cn/tv/home?pid=600001811
CCTV14,webview://https://yangshipin.cn/tv/home?pid=600001809
CCTV15,webview://https://yangshipin.cn/tv/home?pid=600001815
CCTV16,webview://https://yangshipin.cn/tv/home?pid=600098637
CCTV17,webview://https://yangshipin.cn/tv/home?pid=600001810
CCTV4欧洲,webview://https://tv.cctv.com/live/cctveurope/
CCTV4美洲,webview://https://tv.cctv.com/live/cctvamerica/
CCTV4K,webview://https://yangshipin.cn/tv/home?pid=600002264
CCTV8K,webview://https://yangshipin.cn/tv/home?pid=600156816
CGTN,webview://https://yangshipin.cn/tv/home?pid=600014550
CGTN纪录,webview://https://yangshipin.cn/tv/home?pid=600084781
CGTN俄语,webview://https://yangshipin.cn/tv/home?pid=600084758
CGTN法语,webview://https://yangshipin.cn/tv/home?pid=600084704
CGTN西班牙语,webview://https://yangshipin.cn/tv/home?pid=600084744
CGTN阿拉伯语,webview://https://yangshipin.cn/tv/home?pid=600084782
风云剧场,webview://https://yangshipin.cn/tv/home?pid=600099658
第一剧场,webview://https://yangshipin.cn/tv/home?pid=600099655
怀旧剧场,webview://https://yangshipin.cn/tv/home?pid=600099620
CETV1,webview://https://tv.gxtv.cn/channel/channelivePlay_ffa6b6e1b32b4a16a73eb3ef66f8bfc7.html
CETV2,webview://https://tv.gxtv.cn/channel/channelivePlay_80d0ffb42c114eaf9663708629ff0a3e.html
CETV4,webview://https://tv.gxtv.cn/channel/channelivePlay_67eace939278435bb4bca90800fb4225.html
北京卫视,webview://https://yangshipin.cn/tv/home?pid=600002309
江苏卫视,webview://https://yangshipin.cn/tv/home?pid=600002521
东方卫视,webview://https://yangshipin.cn/tv/home?pid=600002483
浙江卫视,webview://https://yangshipin.cn/tv/home?pid=600002520
湖南卫视,webview://https://yangshipin.cn/tv/home?pid=600002475
湖北卫视,webview://https://yangshipin.cn/tv/home?pid=600002508
广东卫视,webview://https://yangshipin.cn/tv/home?pid=600002485
广西卫视,webview://https://yangshipin.cn/tv/home?pid=600002509
黑龙江卫视,webview://https://yangshipin.cn/tv/home?pid=600002498
海南卫视,webview://https://yangshipin.cn/tv/home?pid=600002506
重庆卫视,webview://https://yangshipin.cn/tv/home?pid=600002531
深圳卫视,webview://https://yangshipin.cn/tv/home?pid=600002481
四川卫视,webview://https://yangshipin.cn/tv/home?pid=600002516
河南卫视,webview://https://yangshipin.cn/tv/home?pid=600002525
东南卫视,webview://https://yangshipin.cn/tv/home?pid=600002484
贵州卫视,webview://https://yangshipin.cn/tv/home?pid=600002490
江西卫视,webview://https://yangshipin.cn/tv/home?pid=600002503
辽宁卫视,webview://https://yangshipin.cn/tv/home?pid=600002505
安徽卫视,webview://https://yangshipin.cn/tv/home?pid=600002532
河北卫视,webview://https://yangshipin.cn/tv/home?pid=600002493
山东卫视,webview://https://yangshipin.cn/tv/home?pid=600002513
天津卫视,webview://https://yangshipin.cn/tv/home?pid=600152137
吉林卫视,webview://https://yangshipin.cn/tv/home?pid=600190405
陕西卫视,webview://https://yangshipin.cn/tv/home?pid=600190400
甘肃卫视,webview://https://yangshipin.cn/tv/home?pid=600190408
宁夏卫视,webview://https://yangshipin.cn/tv/home?pid=600190737
内蒙古卫视,webview://https://yangshipin.cn/tv/home?pid=600190401
云南卫视,webview://https://yangshipin.cn/tv/home?pid=600190402
山西卫视,webview://https://yangshipin.cn/tv/home?pid=600190407
青海卫视,webview://https://yangshipin.cn/tv/home?pid=600190406
西藏卫视,webview://https://yangshipin.cn/tv/home?pid=600190403

CCTV1,http://111.56.90.5/000000000000/5000000004000002226/1.m3u8$【111】
CCTV1,http://111.56.90.5/000000000000/6000000001000029752/1.m3u8$【111】
CCTV1,http://111.56.90.5/000000000000/1000000005000265001/1.m3u8$【111】
CCTV2,http://111.56.90.5/000000000000/1000000001000012442/1.m3u8$【111】
CCTV2,http://111.56.90.5/000000000000/6000000001000014161/1.m3u8$【111】
CCTV2,http://111.56.90.5/000000000000/1000000001000023315/1.m3u8$【111】
CCTV3,http://111.56.90.5/000000000000/6000000001000022313/1.m3u8$【111】
CCTV3,http://111.56.90.5/000000000000/1000000005000265003/1.m3u8$【111】
